Title,Rating,Reviews,Discount Price,Original Price,Off
HONOR X9b,3.7,1.0,108999.0,129999.0,16%
KXD Classic core A07,1.6,5.0,18999.0,22900.0,17%
KXD Classic Core A10,3.8,,22499.0,24499.0,8%
Villaon V5606,1.6,1.0,,2249.0,
Dcode Cygnal 4 Lite,1.5,,20999.0,23999.0,13%
GFive 4G Ultra Pro,4.5,5.0,6399.0,7999.0,20%
Calme M16,2.9,,,2399.0,
Calme C251,2.2,,2799.0,3399.0,18%
Calme iMax,2.0,3.0,,2999.0,
Calme 4G LITE,3.0,,,7199.0,
Calme C112,2.7,,,2599.0,
Calme 4G Music,4.1,3.0,,5399.0,
GRESSO E3100,1.6,7.0,2549.0,2799.0,9%
E-Tachi Music E10,2.1,1.0,,3899.0,
E-Tachi B2 Pro,3.2,,2949.0,2999.0,2%
Spice S5026,1.0,,,2999.0,
Club Mobile Maula Jutt,4.4,3.0,3249.0,3299.0,2%
Faywa E1000 Music,3.1,,,3600.0,
Hello Tech E5,1.2,,,2550.0,
Hello Tech G2 Lite,3.4,,,2499.0,
MeMobile M106,5.0,1.0,2749.0,2799.0,2%
E-Tachi Music E10,3.6,1.0,,3899.0,
E-Tachi B2 Pro,2.9,,2949.0,2999.0,2%
Spice S5026,2.0,,,2999.0,
Club Mobile Maula Jutt,1.3,3.0,3249.0,3299.0,2%
Faywa E1000 Music,3.1,,,3600.0,
Sparx Neo 11,1.6,7.0,19899.0,25499.0,22%
Hello Tech E5,2.3,,,2550.0,
Hello Tech G2 Lite,4.6,,,2499.0,
GFive Rocky,3.8,9.0,,2999.0,
Calme M221,4.6,2.0,2799.0,3249.0,14%
Digit Next Ultra,2.8,,18299.0,23000.0,20%
ZTE Nubia Focus 5g,3.5,,41999.0,44999.0,7%
me Mobile I251,1.4,3.0,,2799.0,
GRACE 9,1.7,1.0,24799.0,25999.0,5%
Memobile iPower pro,4.3,1.0,,2749.0,
GRESSO 4sim,4.5,,,3500.0,
Vgotel Flex 2,4.5,,13699.0,14150.0,3%
XMobile Champion,2.0,,,3599.0,
XMobile Dabang Plus,2.6,,,3849.0,
XMobile X1000 Music,4.8,,,3999.0,
XMobile X4i,1.8,,,3799.0,
